date&time,temperature (°C),humidity (%),wind_speed (km/h),precipitation
-1,75,13,1020,Passing clouds.
-1,80,13,1021,Passing clouds.
-1,80,11,1021,Passing clouds.
-1,80,17,1021,Passing clouds.
0,75,15,1022,Passing clouds.
0,80,15,1022,Passing clouds.
0,80,17,1022,Passing clouds.
0,75,17,1022,Passing clouds.
-1,80,15,1023,Passing clouds.
-1,80,13,1023,Passing clouds.
-1,80,13,1023,Sunny.
0,75,15,1024,Sunny.
1,70,13,1024,Sunny.
1,70,15,1025,Passing clouds.
1,70,13,1025,Sunny.
1,75,17,1025,Passing clouds.
1,75,13,1025,Passing clouds.
2,75,15,1025,Passing clouds.
2,75,15,1025,Partly sunny.
2,75,15,1025,Partly sunny.
2,75,15,1025,Partly sunny.
2,75,13,1025,Partly sunny.
2,75,13,1026,Partly sunny.
2,75,15,1026,Broken clouds.
2,70,15,1026,Partly sunny.
2,70,13,1026,Scattered clouds.
1,81,9,1027,Light snow. Passing clouds.
1,81,9,1027,Passing clouds.
1,75,7,1027,Passing clouds.
1,75,4,1027,Passing clouds.
0,80,6,1027,Passing clouds.
1,75,6,1027,Passing clouds.
1,75,9,1028,Passing clouds.
1,75,7,1028,Passing clouds.
1,75,7,1028,Passing clouds.
1,75,9,1028,Partly cloudy.
1,75,7,1028,Partly cloudy.
1,75,7,1028,Partly cloudy.
1,75,6,1028,Partly cloudy.
1,70,7,1028,Partly cloudy.
1,75,9,1028,Partly cloudy.
1,70,13,1028,Passing clouds.
1,70,17,1028,Passing clouds.
1,70,17,1028,Passing clouds.
1,70,19,1028,Passing clouds.
0,69,20,1028,Passing clouds.
0,69,15,1028,Passing clouds.
0,69,13,1028,Passing clouds.
0,69,4,1028,Passing clouds.
0,64,6,1028,Passing clouds.
0,69,7,1028,Partly cloudy.
0,69,4,1028,Partly cloudy.
0,69,4,1028,Partly cloudy.
0,69,6,1028,Partly cloudy.
0,64,7,1028,Passing clouds.
0,64,7,1028,Partly sunny.
0,60,9,1028,Partly sunny.
0,60,9,1027,Partly sunny.
0,60,6,1028,Partly sunny.
0,60,6,1028,Partly sunny.
0,55,6,1027,Partly sunny.
0,60,2,1027,Partly sunny.
0,60,4,1027,Partly sunny.
0,60,4,1026,Partly sunny.
0,64,9,1026,Partly sunny.
0,64,7,1026,Partly sunny.
0,64,7,1025,Partly sunny.
0,64,9,1025,Partly sunny.
0,60,11,1025,Partly sunny.
0,60,11,1024,Partly sunny.
0,60,9,1024,Partly sunny.
0,60,9,1024,Partly sunny.
0,64,7,1023,Partly sunny.
-1,69,7,1023,Passing clouds.
-1,69,7,1023,Passing clouds.
-1,69,7,1022,Passing clouds.
-1,69,9,1022,Passing clouds.
-1,69,9,1022,Passing clouds.
-1,75,11,1021,Passing clouds.
-1,80,15,1021,Passing clouds.
-1,80,15,1021,Partly cloudy.
-1,80,13,1020,Passing clouds.
-1,80,13,1020,Light snow. Mostly cloudy.
-2,93,13,1020,Snow. Mostly cloudy.
-2,93,9,1020,Light snow. Mostly cloudy.
-2,93,9,1020,Snow. Low clouds.
-2,93,9,1019,Snow. Mostly cloudy.
-2,93,9,1019,Light snow. Mostly cloudy.
-2,93,7,1018,Light snow. Mostly cloudy.
-2,93,9,1018,Light snow. Mostly cloudy.
